Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	4	5	6	4	5	6	3	3	3	3	3	3	2	3	4	2	3	1
1	6	92	147	6	108	173	8	108	216	8	108	216	28	535	4980	28	535	6642	6	9	12	6	9	12	60	234	468	60	234	117
2	12	102	162	12	120	190	12	126	254	12	126	254	36	565	5112	36	565	6816	9	12	18	9	12	18	80	312	624	80	312	156
3	18	112	177	18	132	208	18	144	292	18	144	292	48	600	5250	48	600	7002	9	12	18	9	12	18	100	393	788	100	393	197
4	24	122	192	24	144	226	26	162	330	26	162	330	60	625	5382	60	625	7176	12	15	21	12	15	21	120	468	936	120	468	234
5	30	133	207	30	156	243	35	180	368	35	180	368	68	660	5520	68	660	7362	12	15	21	12	15	21	140	546	1092	140	546	273
6	36	143	222	36	168	261	45	198	406	45	198	406	80	695	5652	80	695	7536	15	21	27	15	21	27	160	621	1244	160	621	311
7	42	153	236	42	180	278	56	216	444	56	216	444	92	725	5790	92	725	7722	15	21	27	15	21	27	180	702	1404	180	702	351
8	48	163	252	48	192	296	67	234	482	67	234	482	108	760	5922	108	760	7896	18	24	33	18	24	33	200	780	1560	200	780	390
9	54	173	267	54	204	314	78	252	520	78	252	520	124	785	6060	124	785	8082	21	27	39	21	27	39	220	855	1712	220	855	428
10	60	184	281	60	216	331	89	270	558	89	270	558	140	820	6192	140	820	8256	21	27	39	21	27	39	240	936	1872	240	936	468
11	66	194	297	66	228	349	100	288	596	100	288	596	144	855	6330	144	855	8442	24	33	45	24	33	45	260	1014	2028	260	1014	507
12	72	204	311	72	240	366	111	306	634	111	306	634	160	885	6462	160	885	8616	24	33	45	24	33	45	280	1089	2180	280	1089	545
13	78	214	326	78	252	384	122	324	672	122	324	672	176	920	6600	176	920	8802	27	36	51	27	36	51	308	1203	2408	308	1203	602
14	84	224	342	84	264	402	133	342	710	133	342	710	192	945	6732	192	945	8976	30	39	57	30	39	57	338	1320	2640	338	1320	660
15	90	235	356	90	276	419	144	360	748	144	360	748	208	980	6870	208	980	9162	30	39	57	30	39	57	372	1446	2892	372	1446	723
16	96	245	371	96	288	437	155	378	786	155	378	786	224	1015	7002	224	1015	9336	33	45	60	33	45	60	410	1599	3200	410	1599	800
17	102	255	386	102	300	454	166	396	824	166	396	824	240	1045	7140	240	1045	9522	33	45	60	33	45	60	450	1752	3504	450	1752	876
18	108	265	401	108	312	472	177	414	862	177	414	862	256	1080	7272	256	1080	9696	36	48	66	36	48	66	496	1932	3864	496	1932	966
19	114	275	417	114	324	490	188	432	900	188	432	900	272	1105	7410	272	1105	9882	39	51	72	39	51	72	546	2124	4248	546	2124	1062
